periodico_id_original,periodico_id_revisado,grupo_fusao,decisao_manual
PER_6C081B0F842A88EB,PER_6C081B0F842A88EB,,manter
PER_4D2883DFEC5D21E4,PER_4D2883DFEC5D21E4,,manter
