url_check_id,periodico_id,source_system,url_original,url_original_domain,check_date,http_status,redirect_count,final_url,final_domain,domain_changed,https_valid,timeout,ojs_detected,ojs_version_hint,is_accessible,problem_type,notes,created_at
URL_EC3BEBA29532D03E,PER_8EA6A181AB91E5B8,periodicos,http://e-revista.unioeste.br/,e-revista.unioeste.br,,200,1,https://e-revista.unioeste.br/,e-revista.unioeste.br,False,True,False,True,3.3.0,True,redirect,,
URL_327FD618500FB580,PER_27CCB056F9688B44,periodicos,http://e-revista.unioeste.br/,e-revista.unioeste.br,,200,1,https://e-revista.unioeste.br/,e-revista.unioeste.br,False,True,False,True,3.3.0,True,redirect,,
URL_3C6EB795BC494C9C,PER_50FEDE4C63E870DB,periodicos,http://revista.uergs.edu.br/,revista.uergs.edu.br,,200,2,https://revista.uergs.edu.br/index.php/revuergs,revista.uergs.edu.br,False,True,False,True,3.3.0,True,redirect,,
URL_5ED041E888AF425E,PER_DC434765A7A6A517,periodicos,https://periodicos2.uesb.br/,periodicos2.uesb.br,,200,0,https://periodicos2.uesb.br/,periodicos2.uesb.br,False,True,False,True,3.3.0,True,ok,,
URL_944D4E90AF151C7C,PER_024F254B9F9DED15,periodicos,https://periodicos2.uesb.br/,periodicos2.uesb.br,,200,0,https://periodicos2.uesb.br/,periodicos2.uesb.br,False,True,False,True,3.3.0,True,ok,,
URL_B403AFEDC2819A52,PER_ABDC90B61360C74B,periodicos,https://periodicos2.uesb.br/,periodicos2.uesb.br,,200,0,https://periodicos2.uesb.br/,periodicos2.uesb.br,False,True,False,True,3.3.0,True,ok,,
URL_5FFC1374AC33F25B,PER_1E8473E9AADBD772,periodicos,https://periodicos2.uesb.br/,periodicos2.uesb.br,,200,0,https://periodicos2.uesb.br/,periodicos2.uesb.br,False,True,False,True,3.3.0,True,ok,,
URL_277837033DBBDA6E,PER_623F61E399CD8AE4,periodicos,http://anais.uesb.br/,anais.uesb.br,,200,1,https://anais.uesb.br/,anais.uesb.br,False,True,False,True,provavel-ojs3,True,redirect,,
URL_86DA01FDAB097CC2,PER_A7A7FEFB75B21413,periodicos,https://periodicos2.uesb.br/,periodicos2.uesb.br,,200,0,https://periodicos2.uesb.br/,periodicos2.uesb.br,False,True,False,True,3.3.0,True,ok,,
URL_F0E269B128B5C609,PER_CD579B08F7B53B07,periodicos,https://periodicos2.uesb.br/,periodicos2.uesb.br,,200,0,https://periodicos2.uesb.br/,periodicos2.uesb.br,False,True,False,True,3.3.0,True,ok,,
URL_49F15633DFEB6AEC,PER_FB2C5DC1C27DFF07,periodicos,https://periodicos2.uesb.br/,periodicos2.uesb.br,,200,0,https://periodicos2.uesb.br/,periodicos2.uesb.br,False,True,False,True,3.3.0,True,ok,,
URL_2DF8DCCDE8B69E01,PER_75418D91248C3454,periodicos,https://periodicos2.uesb.br/,periodicos2.uesb.br,,200,0,https://periodicos2.uesb.br/,periodicos2.uesb.br,False,True,False,True,3.3.0,True,ok,,
URL_2C7FBF15DB2E352A,PER_789528AA5AAF2FE2,periodicos,https://periodicos2.uesb.br/,periodicos2.uesb.br,,200,0,https://periodicos2.uesb.br/,periodicos2.uesb.br,False,True,False,True,3.3.0,True,ok,,
URL_EF5F7B6828BEC0F4,PER_4D74AB4F14FA763E,periodicos,https://periodicos2.uesb.br/,periodicos2.uesb.br,,200,0,https://periodicos2.uesb.br/,periodicos2.uesb.br,False,True,False,True,3.3.0,True,ok,,
URL_1B7525DB64DBD8F7,PER_66E28FC95B653C1C,periodicos,https://periodicos2.uesb.br/,periodicos2.uesb.br,,200,0,https://periodicos2.uesb.br/,periodicos2.uesb.br,False,True,False,True,3.3.0,True,ok,,
URL_98E742CBE6C6958E,PER_1AB7AD593ADBC62F,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_726B761B7EDDEAF0,PER_F295C89297B14A50,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_6F13BCA5100C3998,PER_17AA56B7C60131C4,periodicos,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,,200,0,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_BA4848721CD41B86,PER_3171323C384BA41E,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
