classificacao_validacao,sem dados editoriais observaveis,sem dados editoriais observaveis; dominio alterado,sem dados editoriais observaveis; indexado sem preservacao recente,sem dados editoriais observaveis; indexado sem preservacao recente; dominio alterado,sem dados editoriais observaveis; indexado sem preservacao recente; url inacessivel,sem dados editoriais observaveis; url inacessivel
confirmado,16,2,26,0,7,1
inconclusivo,1,0,2,2,2,1
